hhid14_9,edu_level,pidlink
5110000,3,5110008
5111100,1,5111102
5111100,1,5111104
5111100,2,5111104
5111100,3,5111104
5134100,1,5130003
5134100,2,5130003
5130008,1,5130008
5130008,2,5130008
5130008,3,5130008
5130000,1,5130012
5130000,2,5130012
5130000,3,5130012
5130000,4,5130012
5130008,1,5135102
5130008,2,5135102
5130008,3,5135102
5140007,1,5145103
5140007,2,5145103
5140007,3,5145103
5150000,1,5150003
5150000,2,5150003
5150000,3,5150003
5160007,1,5160007
5160007,2,5160007
5160007,3,5160007
5164100,1,5164101
5164100,2,5164101
5164100,1,5164103
5160007,1,5165101
5160007,2,5165101
5170000,3,5170004
5170000,,5170004
5170000,,5170004
5174100,1,5174103
5174100,2,5174103
5174100,3,5174103
5174100,4,5174103
5180003,1,5180003
5180005,1,5180005
5180000,2,5180007
5180000,3,5180007
5180000,,5180007
5180000,1,5180008
5180000,2,5180008
5180003,1,5185103
5180003,2,5185103
5180003,3,5185103
5180005,1,5185202
5180005,2,5185202
5180005,3,5185202
5200000,1,5200002
5200000,2,5200002
5200000,3,5200002
5200003,1,5200003
5200003,2,5200003
5200003,3,5200003
5200000,3,5200005
5200000,4,5200005
5200000,,5200005
5200000,,5200005
5200000,1,5200006
5200000,2,5200006
5200000,1,5200007
5200000,2,5200007
5200000,3,5200007
5200000,1,5200008
5200000,2,5200008
5200000,3,5200008
6010003,4,6010003
6010003,,6010003
6010003,,6010003
6010003,,6010003
6010004,1,6010004
6010004,2,6010004
6010004,3,6010004
6010004,4,6010004
6010003,1,6015101
6010003,2,6015101
6010003,3,6015101
6030000,1,6030005
6030000,2,6030005
6030000,1,6030006
6030000,2,6030006
6030000,1,6030007
6041100,1,6041102
6041100,2,6041102
6041100,3,6041102
6041100,4,6041102
6043100,1,6043103
6043100,2,6043103
6043100,3,6043103
6043100,1,6043104
6043100,2,6043104
6043100,3,6043104
6044100,1,6044101
6044100,2,6044101
6044100,3,6044101
6060001,3,6060003
6060001,,6060003
6060001,,6060003
6060007,1,6060007
6060007,2,6060007
6060007,3,6060007
6060007,4,6060007
6060007,1,6060008
6060007,2,6060008
6060007,3,6060008
6060007,4,6060008
6070000,3,6070004
6070000,,6070004
6070000,,6070004
6080000,1,6080005
6080000,2,6080005
6080000,1,6080009
6080000,2,6080009
6080000,3,6080009
6080000,4,6080009
6094200,4,6090005
6094200,,6090005
6094200,,6090005
6094200,,6090005
6094200,1,6094202
6094200,2,6094202
6094200,3,6094202
6094200,4,6094202
