pidlink,rural_no_migration,urban_no_migration,urban_to_rural_migration,rural_to_urban_migration,rural_to_rural_migration,urban_to_urban_migration
8110002.0,1,0,0,0,0,0
8120001.0,1,0,0,0,0,0
8120002.0,1,0,0,0,0,0
8130001.0,1,0,0,0,0,0
8130002.0,1,0,0,0,0,0
8130004.0,0,0,0,0,1,0
8140001.0,0,0,0,0,1,0
8140002.0,0,0,0,0,1,0
8150002.0,1,0,0,0,0,0
8150006.0,1,0,0,0,0,0
8150007.0,1,0,0,0,0,0
8150003.0,1,0,0,0,0,0
8153101.0,1,0,0,0,0,0
8160002.0,1,0,0,0,0,0
8160004.0,1,0,0,0,0,0
8170002.0,1,0,0,0,0,0
8170004.0,1,0,0,0,0,0
8170006.0,1,0,0,0,0,0
8170003.0,1,0,0,0,0,0
8170005.0,1,0,0,0,0,0
8200002.0,0,0,0,0,1,0
8220002.0,1,0,0,0,0,0
8220003.0,0,0,0,0,1,0
8240001.0,0,0,0,0,1,0
8240002.0,1,0,0,0,0,0
8240004.0,0,1,0,0,0,0
8243101.0,0,1,0,0,0,0
8250001.0,0,0,0,0,1,0
8250002.0,1,0,0,0,0,0
8250003.0,1,0,0,0,0,0
8260002.0,1,0,0,0,0,0
8270001.0,1,0,0,0,0,0
8270002.0,1,0,0,0,0,0
8270004.0,0,0,0,1,0,0
8280001.0,1,0,0,0,0,0
8280002.0,1,0,0,0,0,0
8290001.0,1,0,0,0,0,0
8290002.0,1,0,0,0,0,0
8290009.0,1,0,0,0,0,0
8290004.0,1,0,0,0,0,0
8293101.0,1,0,0,0,0,0
8300001.0,1,0,0,0,0,0
8300006.0,1,0,0,0,0,0
8300004.0,1,0,0,0,0,0
8304104.0,1,0,0,0,0,0
8300003.0,0,1,0,0,0,0
8303101.0,0,1,0,0,0,0
9010001.0,1,0,0,0,0,0
9010002.0,1,0,0,0,0,0
9020006.0,1,0,0,0,0,0
9030002.0,1,0,0,0,0,0
9033102.0,1,0,0,0,0,0
9050001.0,1,0,0,0,0,0
9050002.0,1,0,0,0,0,0
9050005.0,1,0,0,0,0,0
9053101.0,1,0,0,0,0,0
9060001.0,1,0,0,0,0,0
9070001.0,1,0,0,0,0,0
9070002.0,1,0,0,0,0,0
9070007.0,0,0,0,0,1,0
9080007.0,0,0,0,0,1,0
9090001.0,0,0,1,0,0,0
9110008.0,1,0,0,0,0,0
9120005.0,1,0,0,0,0,0
9120006.0,1,0,0,0,0,0
9140001.0,1,0,0,0,0,0
9140002.0,1,0,0,0,0,0
9150009.0,1,0,0,0,0,0
9170003.0,1,0,0,0,0,0
9160003.0,1,0,0,0,0,0
9160004.0,1,0,0,0,0,0
9170001.0,1,0,0,0,0,0
9170002.0,1,0,0,0,0,0
9180002.0,1,0,0,0,0,0
9180006.0,1,0,0,0,0,0
9180003.0,1,0,0,0,0,0
9183106.0,1,0,0,0,0,0
9180005.0,1,0,0,0,0,0
9183203.0,1,0,0,0,0,0
9190001.0,1,0,0,0,0,0
9200002.0,1,0,0,0,0,0
9210001.0,1,0,0,0,0,0
9220001.0,1,0,0,0,0,0
9220002.0,1,0,0,0,0,0
9230001.0,1,0,0,0,0,0
9230002.0,1,0,0,0,0,0
9230006.0,0,0,0,0,1,0
9240001.0,1,0,0,0,0,0
9260004.0,1,0,0,0,0,0
9290001.0,1,0,0,0,0,0
9300001.0,1,0,0,0,0,0
9300005.0,1,0,0,0,0,0
9300003.0,1,0,0,0,0,0
9301103.0,0,0,0,0,1,0
10030002.0,1,0,0,0,0,0
10050003.0,1,0,0,0,0,0
10052102.0,1,0,0,0,0,0
10052207.0,1,0,0,0,0,0
10050005.0,0,0,0,1,0,0
10053103.0,0,0,0,1,0,0
10050006.0,1,0,0,0,0,0
10053203.0,1,0,0,0,0,0
10060002.0,1,0,0,0,0,0
10070001.0,1,0,0,0,0,0
10070002.0,1,0,0,0,0,0
10070004.0,0,0,0,0,1,0
10080002.0,1,0,0,0,0,0
10100003.0,1,0,0,0,0,0
10120002.0,1,0,0,0,0,0
10140002.0,1,0,0,0,0,0
10140003.0,1,0,0,0,0,0
10150001.0,1,0,0,0,0,0
10150006.0,1,0,0,0,0,0
10160003.0,1,0,0,0,0,0
10180003.0,1,0,0,0,0,0
10180004.0,1,0,0,0,0,0
10200002.0,1,0,0,0,0,0
10200004.0,1,0,0,0,0,0
10210001.0,1,0,0,0,0,0
10210002.0,1,0,0,0,0,0
10210007.0,0,0,0,0,1,0
10250005.0,1,0,0,0,0,0
10251104.0,1,0,0,0,0,0
10250001.0,1,0,0,0,0,0
10250002.0,0,0,0,0,1,0
10260010.0,1,0,0,0,0,0
10270001.0,1,0,0,0,0,0
10270002.0,1,0,0,0,0,0
10280002.0,1,0,0,0,0,0
10280003.0,1,0,0,0,0,0
10290001.0,1,0,0,0,0,0
10290002.0,1,0,0,0,0,0
10300004.0,1,0,0,0,0,0
