pidlink,age,male,edu_level,rural,smoking,rural_no_migration,urban_no_migration,urban_to_rural_migration,rural_to_urban_migration,rural_to_rural_migration,urban_to_urban_migration,never_smoking,always_smoking,started_smoking
3170005,38,0,3,1,0,,,,,,,,,
3170006,19,0,3,1,0,,,,,,,,,
3173104,16,1,2,1,0,,,,,,,,,
3174102,36,0,,0,0,,,,,,,1,0,0
3175201,23,1,,1,1,,,,,,,,,
3180002,61,0,,1,0,1,0,0,0,0,0,1,0,0
3180003,32,0,,1,0,,,,,,,0,0,0
3180004,30,1,,1,1,0,0,1,0,0,0,0,0,1
3180005,29,0,,1,0,,,,,,,1,0,0
3180006,28,0,4,0,0,,,,,,,1,0,0
3180007,23,1,4,1,1,0,0,0,0,1,0,0,0,1
3183104,28,0,4,1,0,,,,,,,,,
3184101,38,1,4,1,1,,,,,,,,,
3184202,33,1,4,0,0,,,,,,,,,
3185101,29,1,3,1,1,,,,,,,,,
3190001,62,1,,1,0,1,0,0,0,0,0,0,0,0
3190002,58,0,,1,1,1,0,0,0,0,0,0,1,0
3190003,36,1,,0,1,0,0,0,1,0,0,0,1,0
3190004,35,0,,1,0,1,0,0,0,0,0,1,0,0
3190005,32,1,,1,0,,,,,,,0,0,0
3191101,42,1,,1,1,1,0,0,0,0,0,0,0,1
3193102,45,0,,0,0,0,0,0,1,0,0,0,0,0
3194102,30,0,,1,0,,,,,,,0,0,0
3200003,43,0,,1,0,1,0,0,0,0,0,1,0,0
3200004,35,1,4,0,1,,,,,,,,,
3200005,56,1,,1,1,1,0,0,0,0,0,0,1,0
3200007,26,0,4,1,0,,,,,,,,,
3200010,17,1,3,1,0,,,,,,,,,
3203103,17,0,3,1,0,,,,,,,,,
3203104,17,1,3,1,0,,,,,,,,,
3203105,44,1,,1,1,1,0,0,0,0,0,0,0,1
3205102,34,0,,,,,,,,,,,,
3240002,49,1,,1,1,1,0,0,0,0,0,0,1,0
3240003,43,0,,1,1,1,0,0,0,0,0,0,0,1
3240005,33,0,4,0,0,,,,,,,,,
3240006,40,0,,1,0,1,0,0,0,0,0,0,0,0
3240007,47,1,,1,1,1,0,0,0,0,0,0,1,0
3240008,42,0,,1,0,1,0,0,0,0,0,0,0,0
3240009,24,1,3,1,1,,,,,,,0,0,1
3240010,22,0,4,1,0,1,0,0,0,0,0,0,0,0
3240011,19,1,,1,1,,,,,,,,,
3243103,16,0,3,1,0,,,,,,,,,
