pidlink,age,male,edu_level,rural,smoking,rural_no_migration,urban_no_migration,urban_to_rural_migration,rural_to_urban_migration,rural_to_rural_migration,urban_to_urban_migration,never_smoking,always_smoking,started_smoking
3120004.0,24.0,1.0,4.0,0.0,0.0,,,,,,,1.0,0.0,0.0
3120005.0,33.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3121103.0,18.0,1.0,3.0,1.0,0.0,,,,,,,,,
3121104.0,16.0,0.0,3.0,1.0,0.0,,,,,,,,,
3130001.0,55.0,1.0,1.0,1.0,1.0,,,,,,,0.0,0.0,1.0
3130002.0,47.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3130003.0,28.0,1.0,2.0,0.0,1.0,,,,,,,0.0,0.0,1.0
3130007.0,18.0,1.0,3.0,1.0,1.0,,,,,,,,,
3134105.0,28.0,0.0,3.0,0.0,0.0,,,,,,,,,
3140002.0,68.0,0.0,1.0,1.0,0.0,,,,,,,,,
3140004.0,33.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3140005.0,48.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3140006.0,47.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3143101.0,36.0,1.0,3.0,1.0,1.0,,,,,,,0.0,1.0,0.0
3150001.0,61.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3150002.0,37.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3150003.0,28.0,0.0,2.0,0.0,0.0,,,,,,,1.0,0.0,0.0
3153101.0,40.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3153103.0,16.0,0.0,3.0,1.0,0.0,,,,,,,,,
3155101.0,35.0,1.0,3.0,0.0,1.0,,,,,,,,,
3170001.0,60.0,0.0,2.0,1.0,0.0,,,,,,,,,
3170002.0,42.0,0.0,4.0,1.0,0.0,,,,,,,0.0,0.0,0.0
3170003.0,39.0,1.0,3.0,1.0,1.0,,,,,,,,,
3170004.0,38.0,1.0,4.0,0.0,1.0,,,,,,,0.0,0.0,1.0
3170005.0,38.0,0.0,3.0,1.0,0.0,,,,,,,,,
3170006.0,19.0,0.0,3.0,1.0,0.0,,,,,,,,,
3173104.0,16.0,1.0,2.0,1.0,0.0,,,,,,,,,
3174102.0,36.0,0.0,3.0,0.0,0.0,,,,,,,1.0,0.0,0.0
3175201.0,23.0,1.0,4.0,1.0,1.0,,,,,,,,,
3180002.0,61.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3180003.0,32.0,0.0,4.0,1.0,0.0,,,,,,,0.0,0.0,0.0
3180004.0,30.0,1.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
3180005.0,29.0,0.0,3.0,1.0,0.0,,,,,,,1.0,0.0,0.0
3180006.0,28.0,0.0,4.0,0.0,0.0,,,,,,,1.0,0.0,0.0
3180007.0,23.0,1.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
3183104.0,28.0,0.0,4.0,1.0,0.0,,,,,,,,,
3184101.0,38.0,1.0,3.0,1.0,1.0,,,,,,,,,
3184202.0,33.0,1.0,4.0,0.0,0.0,,,,,,,,,
3185101.0,29.0,1.0,3.0,1.0,1.0,,,,,,,,,
3190001.0,62.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3190002.0,58.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3190003.0,36.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
3190004.0,35.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3190005.0,32.0,1.0,3.0,1.0,0.0,,,,,,,0.0,0.0,0.0
3191101.0,42.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
